11	overbrugd	overbruggen	[overbrugd]	WW(vd,vrij,zonder)	0.992221	O	B-VP	0	ROOT

1	foto	foto	[foto]	N(soort,ev,basis,zijd,stan)	0.999602	O	B-NP	0	ROOT
2	van	van	[van]	VZ(init)	0.999667	O	B-PP	1	mod
3	een	een	[een]	LID(onbep,stan,agr)	0.995147	O	B-NP	5	det
4	jong	jong	[jong]	ADJ(prenom,basis,zonder)	0.969697	O	I-NP	5	mod
5	meisje	meisje	[meisje]	N(soort,ev,dim,onz,stan)	0.988701	O	I-NP	2	obj1
6	die	die	[die]	VNW(betr,pron,stan,vol,persoon,getal)	0.878623	O	B-SBAR	5	mod
7	door	door	[door]	VZ(init)	0.996204	O	B-PP	13	mod
8	een	een	[een]	LID(onbep,stan,agr)	0.997543	O	B-NP	9	det
9	vrouw	vrouw	[vrouw]	N(soort,ev,basis,zijd,stan)	0.997481	O	I-NP	7	obj1
10	een	een	[een]	LID(onbep,stan,agr)	0.999528	O	B-NP	11	det
11	knuffeldier	knuffeldier	[knuffel][dier]	N(soort,ev,basis,onz,stan)	0.996569	O	I-NP	13	su
12	aangereikt	aanreiken	[aan][ge][reik][t]	WW(vd,vrij,zonder)	0.997544	O	B-ADJP	13	mod
13	krijgt	krijgen	[krijg][t]	WW(pv,tgw,met-t)	0.999122	O	B-VP	6	body

1	Foto	foto	[foto]	N(soort,ev,basis,zijd,stan)	0.997420	O	B-NP	0	ROOT
2	van	van	[van]	VZ(init)	0.999697	O	B-PP	1	mod
3	een	een	[een]	LID(onbep,stan,agr)	0.999038	O	B-NP	4	det
4	keuken	keuken	[keuken]	N(soort,ev,basis,zijd,stan)	0.996332	O	I-NP	2	obj1
5	nadat	nadat	[nadat]	VG(onder)	0.997399	O	B-SBAR	4	vc
6	een	een	[een]	LID(onbep,stan,agr)	0.960000	O	B-NP	8	det
7	het	het	[het]	LID(bep,stan,evon)	0.702075	O	I-NP	8	det
8	eten	eten	[eten]	N(soort,ev,basis,onz,stan)	0.400000	O	I-NP	9	su
9	heeft	hebben	[heb][t]	WW(pv,tgw,met-t)	0.999599	O	B-VP	5	body
10	plaatsgevonden	plaatsvinden	[plaats][ge][vind][en]	WW(vd,vrij,zonder)	0.999154	O	I-VP	9	vc
11	met	met	[met]	VZ(init)	0.999480	O	B-PP	10	ld
12	restantjes	restant	[restan][tje][s]	N(soort,mv,dim)	0.875000	O	B-NP	11	obj1
13	van	van	[van]	VZ(init)	0.885714	O	B-PP	10	mod
14	eten	eten	[eet][en]	WW(inf,vrij,zonder)	0.576486	O	B-VP	13	obj1

1	Tafel	tafel	[tafel]	N(soort,ev,basis,zijd,stan)	0.750000	B-EVE	B-NP	0	ROOT
2	met	met	[met]	VZ(init)	0.999761	O	B-PP	1	mod
3	een	een	[een]	LID(onbep,stan,agr)	0.995147	O	B-NP	5	det
4	gigantische	gigantisch	[gigant][isch][e]	ADJ(prenom,basis,met-e,stan)	0.999828	O	I-NP	5	mod
5	pizza	pizza	[pizza]	N(soort,ev,basis,zijd,stan)	0.998454	O	I-NP	2	obj1
6	met	met	[met]	VZ(init)	0.999480	O	B-PP	5	mod
7	drie	drie	[drie]	TW(hoofd,prenom,stan)	0.997436	O	B-NP	8	det
8	mannen	man	[man][en]	N(soort,mv,basis)	0.999421	O	I-NP	6	obj1
9	eromheen	eromheen	[er][om][heen]	BW()	0.997264	O	B-VP	8	mod

1	Een	een	[een]	LID(onbep,stan,agr)	0.981771	O	B-NP	2	det
2	vrouw	vrouw	[vrouw]	N(soort,ev,basis,zijd,stan)	0.997481	O	I-NP	12	su
3	die	die	[die]	VNW(betr,pron,stan,vol,persoon,getal)	0.866616	O	B-SBAR	2	mod
4	een	een	[een]	LID(onbep,stan,agr)	0.999560	O	B-NP	5	det
5	foto	foto	[foto]	N(soort,ev,basis,zijd,stan)	0.998836	O	I-NP	6	obj1
6	maakt	maken	[maak][t]	WW(pv,tgw,met-t)	0.999370	O	B-VP	3	body
7	van	van	[van]	VZ(init)	0.999441	O	B-PP	6	pc
8	een	een	[een]	LID(onbep,stan,agr)	0.928571	O	B-NP	9	det
9	huis	huis	[huis]	N(soort,ev,basis,onz,stan)	0.996553	O	I-NP	6	obj1
10	dat	dat	[dat]	VNW(aanw,pron,stan,vol,3o,ev)	0.500000	O	B-NP	11	None
11	helemaal	helemaal	[helemaal]	BW()	0.999468	O	B-ADVP	6	mod
12	is	zijn	[zijn]	WW(pv,tgw,ev)	0.999447	O	B-VP	0	ROOT
13	afgebrand	afbranden	[af][ge][brand]	WW(vd,vrij,zonder)	0.992221	O	I-VP	12	vc

1	Een	een	[een]	LID(onbep,stan,agr)	0.981771	O	B-NP	2	det
2	kat	kat	[kat]	N(soort,ev,basis,zijd,stan)	0.999061	O	I-NP	12	su
3	die	die	[die]	VNW(betr,pron,stan,vol,persoon,getal)	0.994444	O	B-SBAR	2	mod
4	in	in	[in]	VZ(init)	0.998790	O	B-PP	7	mod
5	een	een	[een]	LID(onbep,stan,agr)	0.983333	O	B-NP	6	det
6	mand	mand	[mand]	N(soort,ev,basis,zijd,stan)	0.998836	O	I-NP	4	obj1
7	ligt	liggen	[lig][t]	WW(pv,tgw,met-t)	0.999122	O	B-VP	3	body
8	die	die	[die]	VNW(aanw,pron,stan,vol,3,getal)	0.500000	O	B-NP	7	su
9	onder	onder	[onder]	VZ(init)	0.934363	O	B-PP	7	ld
10	een	een	[een]	LID(onbep,stan,agr)	0.999837	O	B-NP	11	det
11	bureau	bureau	[bureau]	N(soort,ev,basis,onz,stan)	0.996848	O	I-NP	9	obj1
12	is	zijn	[zijn]	WW(pv,tgw,ev)	0.999447	O	B-VP	0	ROOT
13	geplaatst	plaatsen	[ge][plaats][t]	WW(vd,vrij,zonder)	0.992221	O	I-VP	12	vc

1	Een	een	[een]	LID(onbep,stan,agr)	0.981771	O	B-NP	3	det
2	gedekte	dekken	[ge][dek][t][e]	WW(vd,prenom,met-e)	0.996183	O	I-NP	3	mod
3	tafel	tafel	[tafel]	N(soort,ev,basis,zijd,stan)	0.996332	O	I-NP	7	su
4	voordat	voordat	[voordat]	VG(onder)	0.997849	O	B-SBAR	3	vc
5	de	de	[de]	LID(bep,stan,rest)	0.999647	O	B-NP	6	det
6	maaltijd	maaltijd	[maal][tijd]	N(soort,ev,basis,zijd,stan)	0.998006	O	I-NP	4	body
7	is	zijn	[zijn]	WW(pv,tgw,ev)	0.999447	O	B-VP	0	ROOT
8	gestart	starten	[ge][start]	WW(vd,vrij,zonder)	0.992221	O	I-VP	7	vc

1	Foto	foto	[foto]	N(soort,ev,basis,zijd,stan)	0.997420	O	B-NP	0	ROOT
2	van	van	[van]	VZ(init)	0.999697	O	B-PP	1	mod
3	een	een	[een]	LID(onbep,stan,agr)	0.916667	O	B-NP	4	det
4	ski	ski	[ski]	N(soort,ev,basis,zijd,stan)	0.706667	O	I-NP	2	obj1
5	afdaling	afdaling	[af][daal][ing]	N(soort,ev,basis,zijd,stan)	0.999295	O	I-NP	2	obj1
6	met	met	[met]	VZ(init)	0.999480	O	B-PP	5	mod
7	allemaal	allemaal	[allemaal]	BW()	0.998251	O	B-NP	8	det
8	mensen	mens	[mens][en]	N(soort,mv,basis)	0.999402	O	I-NP	6	obj1
9	aan	aan	[aan]	VZ(init)	0.995833	O	B-PP	1	mod
10	de	de	[de]	LID(bep,stan,rest)	0.999964	O	B-NP	11	det
11	voet	voet	[voet]	N(soort,ev,basis,zijd,stan)	0.999662	O	I-NP	9	obj1
12	van	van	[van]	VZ(init)	0.999941	O	B-PP	11	mod
13	de	de	[de]	LID(bep,stan,rest)	0.999878	O	B-NP	14	det
14	afdaling	afdaling	[af][daal][ing]	N(soort,ev,basis,zijd,stan)	0.997691	O	I-NP	12	obj1

1	Een	een	[een]	LID(onbep,stan,agr)	0.981771	O	B-NP	2	det
2	gebouw	gebouw	[ge][bouw]	N(soort,ev,basis,onz,stan)	0.997977	O	I-NP	0	ROOT
3	met	met	[met]	VZ(init)	0.999688	O	B-PP	2	mod
4	winkels	winkel	[winkel][s]	N(soort,mv,basis)	0.999404	O	B-NP	3	obj1
5	voor	voor	[voor]	VZ(init)	0.968750	O	B-PP	4	mod
6	toeristen	toerist	[toer][ist][en]	N(soort,mv,basis)	0.985714	O	B-NP	5	obj1
7	aan	aan	[aan]	VZ(init)	0.995833	O	B-PP	6	mod
8	de	de	[de]	LID(bep,stan,rest)	0.981886	O	B-NP	10	det
9	onderste	onderst	[onderste]	ADJ(prenom,basis,met-e,stan)	0.941176	O	I-NP	10	mod
10	verdieping	verdieping	[ver][diep][ing]	N(soort,ev,basis,zijd,stan)	0.997691	O	I-NP	7	obj1

1	Een	een	[een]	LID(onbep,stan,agr)	0.981771	O	B-NP	2	det
2	groep	groep	[groep]	N(soort,ev,basis,zijd,stan)	0.997481	O	I-NP	8	su
3	mensen	mens	[mens][en]	N(soort,mv,basis)	0.999865	O	I-NP	2	mod
4	die	die	[die]	VNW(betr,pron,stan,vol,persoon,getal)	1.000000	O	B-SBAR	2	mod
5	allemaal	allemaal	[allemaal]	BW()	0.998251	O	B-ADVP	6	mod
6	vliegen	vliegen	[vlieg][en]	WW(inf,vrij,zonder)	0.607306	O	B-VP	4	body
7	vast	vast	[vast]	ADJ(vrij,basis,zonder)	0.857143	O	I-VP	8	vc
8	heeft	hebben	[heb][t]	WW(pv,tgw,met-t)	0.999599	O	I-VP	0	ROOT

1	Een	een	[een]	LID(onbep,stan,agr)	0.985294	O	B-NP	3	det
2	Harley-Davidson	Harley-Davidson	[Harley-Davidson]	SPEC(deeleigen)	1.000000	B-MISC	I-NP	3	det
3	motor	motor	[motor]	N(soort,ev,basis,zijd,stan)	0.999295	O	I-NP	0	ROOT
4	met	met	[met]	VZ(init)	0.999480	O	B-PP	3	mod
5	zijspan	zijspan	[zij][span]	N(soort,ev,basis,onz,stan)	0.518679	O	B-NP	4	obj1

1	Een	een	[een]	LID(onbep,stan,agr)	0.981771	O	B-NP	2	det
2	vliegtuig	vliegtuig	[vlieg][tuig]	N(soort,ev,basis,onz,stan)	0.997959	O	I-NP	0	ROOT
3	van	van	[van]	VZ(init)	0.973586	O	B-PP	2	mod
4	China_Airlines	China_Airlines	[China]_[Airlines]	SPEC(deeleigen)_SPEC(deeleigen)	1.000000	B-LOC_I-LOC	B-NP_I-NP	3	obj1
5	dat	dat	[dat]	VNW(aanw,pron,stan,vol,3o,ev)	0.643766	O	B-NP	14	su
6	aan	aan	[aan]	VZ(init)	0.996734	O	B-PP	5	mod
7	de	de	[de]	LID(bep,stan,rest)	0.999964	O	B-NP	8	det
8	grond	grond	[grond]	N(soort,ev,basis,zijd,stan)	0.996942	O	I-NP	6	obj1
9	staat	staan	[sta][t]	WW(pv,tgw,met-t)	0.852941	O	B-VP	10	cnj
10	en	en	[en]	VG(neven)	0.998727	O	B-CONJP	6	obj1
11	met	met	[met]	VZ(init)	0.999761	O	B-PP	10	cnj
12	een	een	[een]	LID(onbep,stan,agr)	0.999052	O	B-NP	13	det
13	sluis	sluis	[sluis]	N(soort,ev,basis,zijd,stan)	0.997743	O	I-NP	11	obj1
14	is	zijn	[zijn]	WW(pv,tgw,ev)	0.999447	O	B-VP	0	ROOT
15	verbonden	verbinden	[verbonden]	WW(vd,vrij,zonder)	0.997746	O	I-VP	14	predc
16	aan_het	aan_het	[aan]_[het]	VZ(init)_LID(bep,stan,evon)	0.996447	O_O	B-PP_B-NP	14	vc
17	vliegveld	vliegveld	[vlieg][veld]	N(soort,ev,basis,onz,stan)	0.996804	O	I-NP	0	ROOT

1	Een	een	[een]	LID(onbep,stan,agr)	0.981771	O	B-NP	3	det
2	rommelige	rommelig	[rommel][ig][e]	ADJ(prenom,basis,met-e,stan)	0.999837	O	I-NP	3	mod
3	keuken	keuken	[keuken]	N(soort,ev,basis,zijd,stan)	0.998581	O	I-NP	8	mod
