1	Een	een	[een]	LID(onbep,stan,agr)	0.981771	O	B-NP	2	det
2	brug	brug	[brug]	N(soort,ev,basis,zijd,stan)	0.998636	O	I-NP	10	obj1
3	in	in	[in]	VZ(init)	0.999525	O	B-PP	2	mod
4	de	de	[de]	LID(bep,stan,rest)	0.999643	O	B-NP	5	det
5	stad	stad	[stad]	N(soort,ev,basis,zijd,stan)	0.998012	O	I-NP	3	obj1
6	,	,	[,]	LET()	1.000000	O	O	5	punct
7	enkele	enkel	[enkele]	VNW(onbep,det,stan,prenom,met-e,rest)	0.998946	O	B-NP	8	det
8	mensen	mens	[mens][en]	N(soort,mv,basis)	0.999865	O	I-NP	5	app
9	die	die	[die]	VNW(betr,pron,stan,vol,persoon,getal)	0.888889	O	B-SBAR	8	mod
10	oversteken	oversteken	[oversteken]	WW(inf,vrij,zonder)	0.862069	O	B-VP	0	ROOT

1	Een	een	[een]	LID(onbep,stan,agr)	0.981771	O	B-NP	2	det
2	roltrap	roltrap	[rol][trap]	N(soort,ev,basis,zijd,stan)	0.998115	O	I-NP	0	ROOT
3	temidden_van	temidden_van	[temidden]_[van]	BW()_VZ(init)	0.996725	O_O	B-PP_I-PP	2	mod
4	twee	twee	[twee]	TW(hoofd,prenom,stan)	0.992147	O	B-NP	6	det
5	normale	normaal	[norm][aal][e]	ADJ(prenom,basis,met-e,stan)	0.990169	O	I-NP	6	mod
6	trappen	trap	[trap][en]	N(soort,mv,basis)	1.000000	O	I-NP	3	obj1
7	.	.	[.]	LET()	1.000000	O	O	6	punct
8	Twee	twee	[twee]	TW(hoofd,prenom,stan)	0.661191	O	B-NP	9	det
9	mensen	mens	[mens][en]	N(soort,mv,basis)	0.999865	O	I-NP	3	obj1
10	die	die	[die]	VNW(betr,pron,stan,vol,persoon,getal)	0.625724	O	B-SBAR	9	mod
11	met	met	[met]	VZ(init)	0.999820	O	B-PP	16	mod
12	de	de	[de]	LID(bep,stan,rest)	0.999964	O	B-NP	13	det
13	roltrap	roltrap	[rol][trap]	N(soort,ev,basis,zijd,stan)	0.998827	O	I-NP	11	obj1
14	naar	naar	[naar]	VZ(init)	0.857143	O	B-PP	16	svp
15	beneden	beneden	[beneden]	VZ(fin)	0.991304	O	B-ADVP	14	obj1
16	gaan	gaan	[ga]	WW(inf,vrij,zonder)	0.875000	O	B-VP	10	body
17	.	.	[.]	LET()	1.000000	O	O	16	punct

1	Een	een	[een]	LID(onbep,stan,agr)	0.981771	O	B-NP	4	det
2	grote	groot	[groot][e]	ADJ(prenom,basis,met-e,stan)	0.983051	O	I-NP	4	mod
3	witte	wit	[wit][e]	ADJ(prenom,basis,met-e,stan)	0.999763	O	I-NP	4	mod
4	vrachtwagen	vrachtwagen	[vracht][wagen]	N(soort,ev,basis,zijd,stan)	0.999841	O	I-NP	0	ROOT
5	van	van	[van]	VZ(init)	0.998991	O	B-PP	4	mod
6	mercedes	mercedes	[mercede][s]	N(soort,ev,basis,onz,stan)	0.994052	O	B-NP	5	obj1
7	.	.	[.]	LET()	1.000000	O	O	6	punct

1	Drie	drie	[drie]	TW(hoofd,prenom,stan)	0.996795	O	B-NP	2	det
2	vrouwen	vrouw	[vrouw][en]	N(soort,mv,basis)	0.999597	O	I-NP	0	ROOT
3	die	die	[die]	VNW(betr,pron,stan,vol,persoon,getal)	0.718254	O	B-SBAR	2	mod
4	bij	bij	[bij]	VZ(init)	0.997868	O	B-PP	7	ld
5	een	een	[een]	LID(onbep,stan,agr)	0.999038	O	B-NP	6	det
6	parkeermeter	parkeermeter	[park][eer][meet][er]	N(soort,ev,basis,zijd,stan)	0.998813	O	I-NP	4	obj1
7	staan	staan	[sta]	WW(inf,vrij,zonder)	0.600000	O	B-VP	3	body
8	bij	bij	[bij]	VZ(init)	0.997868	O	B-PP	14	mod
9	een	een	[een]	LID(onbep,stan,agr)	0.999837	O	B-NP	10	det
10	winkelcentrum	winkelcentrum	[winkel][centrum]	N(soort,ev,basis,onz,stan)	0.997310	O	I-NP	8	obj1
11	.	.	[.]	LET()	1.000000	O	O	10	punct
12	Alle	al	[alle]	VNW(onbep,det,stan,prenom,met-e,agr)	0.988764	O	B-NP	13	det
13	vrouwen	vrouw	[vrouw][en]	N(soort,mv,basis)	0.999775	O	I-NP	14	su
14	hebben	hebben	[heb][en]	WW(pv,tgw,mv)	0.790390	O	B-VP	0	ROOT
15	hun	hun	[hun]	VNW(bez,det,stan,vol,3,mv,prenom,zonder,agr)	0.918501	O	B-NP	16	det
16	portomonee	portomonee	[portomonee]	N(soort,ev,basis,zijd,stan)	0.941005	O	I-NP	14	obj1
17	vast	vast	[vast]	ADJ(vrij,basis,zonder)	0.942857	O	O	14	predc
18	.	.	[.]	LET()	1.000000	O	O	17	punct

1	Olifant	olifant	[olifant]	N(soort,ev,basis,zijd,stan)	0.645455	O	B-NP	0	ROOT
2	die	die	[die]	VNW(betr,pron,stan,vol,persoon,getal)	0.981651	O	B-SBAR	1	mod
3	met	met	[met]	VZ(init)	0.999480	O	B-PP	6	mod
4	zijn	zijn	[zijn]	VNW(bez,det,stan,vol,3,ev,prenom,zonder,agr)	0.998898	O	B-NP	5	det
5	slurf	slurf	[slurf]	N(soort,ev,basis,zijd,stan)	0.997758	O	I-NP	3	obj1
6	iets	iets	[iets]	VNW(onbep,pron,stan,vol,3o,ev)	0.998571	O	B-NP	7	su
7	pakt	pakken	[pak][t]	WW(pv,tgw,met-t)	0.998852	O	B-VP	2	body
8	uit_de_handen	uit_de_hand	[uit]_[de]_[hand][en]	VZ(init)_LID(bep,stan,rest)_N(soort,mv,basis)	0.993248	O_O_O	B-PP_B-NP_I-NP	7	svp
9	van	van	[van]	VZ(init)	0.999441	O	B-PP	7	mod
10	een	een	[een]	LID(onbep,stan,agr)	0.999789	O	B-NP	12	det
11	klein	klein	[klein]	ADJ(prenom,basis,zonder)	0.998588	O	I-NP	12	mod
12	meisje	meisje	[meisje]	N(soort,ev,dim,onz,stan)	0.999548	O	I-NP	9	obj1
13	.	.	[.]	LET()	1.000000	O	O	12	punct

1	Een	een	[een]	LID(onbep,stan,agr)	0.981771	O	B-NP	2	det
2	vliegveld	vliegveld	[vlieg][veld]	N(soort,ev,basis,onz,stan)	0.997959	O	I-NP	0	ROOT
3	van	van	[van]	VZ(init)	0.980392	O	B-PP	2	mod
4	boven	boven	[boven]	VZ(fin)	0.972112	O	B-ADVP	3	obj1
5	.	.	[.]	LET()	1.000000	O	O	4	punct
6	Met	met	[met]	VZ(init)	0.995378	O	B-PP	3	body
7	enkele	enkel	[enkele]	VNW(onbep,det,stan,prenom,met-e,rest)	0.998946	O	B-NP	8	det
8	mensen	mens	[mens][en]	N(soort,mv,basis)	0.999865	O	I-NP	6	obj1
9	die	die	[die]	VNW(betr,pron,stan,vol,persoon,getal)	0.657895	O	B-SBAR	8	mod
10	aankomen	aankomen	[aan][kom][en]	WW(pv,tgw,mv)	0.714286	O	B-VP	11	cnj
11	en	en	[en]	VG(neven)	0.999194	O	B-CONJP	13	cnj
12	vertrekken	vertrekken	[ver][trek][en]	WW(inf,vrij,zonder)	0.825000	O	B-VP	11	cnj
13	en	en	[en]	VG(neven)	0.999194	O	B-CONJP	9	body
14	vliegtuigen	vliegtuig	[vlieg][tuig][en]	N(soort,mv,basis)	0.996082	O	B-NP	13	cnj
15	.	.	[.]	LET()	1.000000	O	O	14	punct

1	Een	een	[een]	LID(onbep,stan,agr)	0.981771	O	B-NP	2	det
2	bed	bed	[bed]	N(soort,ev,basis,onz,stan)	0.992701	O	I-NP	13	cnj
3	waarop	waarop	[waar][op]	BW()	0.999464	O	B-SBAR	2	mod
4	een	een	[een]	LID(onbep,stan,agr)	0.998962	O	B-NP	5	det
5	koffer	koffer	[koffer]	N(soort,ev,basis,zijd,stan)	0.998836	O	I-NP	6	su
6	ligt	liggen	[lig][t]	WW(pv,tgw,met-t)	0.999122	O	B-VP	3	body
7	,	,	[,]	LET()	1.000000	O	O	6	punct
8	de	de	[de]	LID(bep,stan,rest)	0.999454	O	B-NP	9	det
9	koffer	koffer	[koffer]	N(soort,ev,basis,zijd,stan)	0.997976	O	I-NP	10	su
10	zit	zitten	[zit]	WW(pv,tgw,ev)	0.994691	O	B-VP	3	body
11	vol	vol	[vol]	ADJ(vrij,basis,zonder)	0.750000	O	B-PP	12	mod
12	kleding	kleding	[kleed][ing]	N(soort,ev,basis,zijd,stan)	0.983871	O	B-NP	10	su
13	en	en	[en]	VG(neven)	0.999106	O	B-CONJP	17	su
14	op	op	[op]	VZ(init)	0.959124	O	B-PP	13	cnj
15	die	die	[die]	VNW(aanw,det,stan,prenom,zonder,rest)	0.999560	O	B-NP	16	det
16	kleding	kleding	[kleed][ing]	N(soort,ev,basis,zijd,stan)	0.998836	O	I-NP	14	obj1
17	ligt	liggen	[lig][t]	WW(pv,tgw,met-t)	0.999122	O	B-VP	0	ROOT
18	een	een	[een]	LID(onbep,stan,agr)	0.999560	O	B-NP	19	det
19	kat	kat	[kat]	N(soort,ev,basis,zijd,stan)	0.998077	O	I-NP	17	su
20	.	.	[.]	LET()	1.000000	O	O	19	punct

1	Een	een	[een]	LID(onbep,stan,agr)	0.981771	O	B-NP	2	det
2	kantoorgebouw	kantoorgebouw	[kantoor][ge][bouw]	N(soort,ev,basis,onz,stan)	0.998155	O	I-NP	10	su
3	langs	langs	[langs]	VZ(init)	0.715439	O	B-PP	2	mod
4	de	de	[de]	LID(bep,stan,rest)	0.992366	O	B-NP	5	det
5	weg	weg	[weg]	N(soort,ev,basis,zijd,stan)	1.000000	O	I-NP	3	obj1
