participant,image,modality,PID,length,attributives,adverbs,syllables,chars,consciousness_of_projection,self_reference_words,negations,pseudo_quantifiers,positive_allness,prepositions
ppt-36,img-285807,spoken,0.4,18,1,0,1.5555555555555556,4.277777777777778,0,0,0,0,0,3
ppt-36,img-285851,spoken,0.4,5,0,0,1.4,4.8,0,0,0,0,0,1
ppt-36,img-285905,spoken,0.4444444444444444,19,2,0,1.105263157894737,3.3684210526315788,0,0,0,0,0,3
ppt-36,img-285932,spoken,0.5,12,0,1,1.3333333333333333,4.083333333333333,0,0,0,1,0,1
ppt-36,img-285933,spoken,0.4,11,0,0,1.6363636363636365,4.636363636363637,0,0,0,0,0,2
ppt-36,img-285948,spoken,0.5,8,0,1,1.375,4.25,0,0,0,0,0,1
ppt-36,img-285959,spoken,0.3,10,1,0,2.0,7.0,0,0,0,0,0,1
ppt-36,img-285992,spoken,0.25,8,0,0,2.0,6.5,0,0,0,0,0,2
ppt-36,img-286066,spoken,0.25,8,0,0,1.625,4.125,0,0,0,0,0,2
ppt-36,img-497950,spoken,0.4,11,0,1,1.1818181818181819,3.090909090909091,0,0,0,0,0,2
ppt-36,img-497974,spoken,0.6363636363636364,24,2,1,1.5416666666666667,4.833333333333333,0,0,0,0,0,1
ppt-36,img-498025,spoken,0.3684210526315789,19,0,0,1.5263157894736843,4.578947368421052,0,0,0,0,0,3
ppt-36,img-498108,spoken,0.6666666666666666,13,1,1,1.4615384615384615,4.615384615384615,0,0,0,0,0,1
ppt-36,img-498175,spoken,0.42424242424242425,35,3,1,1.3428571428571427,4.2,0,0,0,0,0,4
ppt-36,img-498258,spoken,0.42857142857142855,7,2,0,1.8571428571428572,5.857142857142857,0,0,0,0,0,1
ppt-36,img-498280,spoken,0.5862068965517241,30,0,0,1.7,4.666666666666667,0,0,0,0,0,4
ppt-36,img-498326,spoken,0.4444444444444444,9,2,0,1.6666666666666667,5.0,0,0,0,0,0,2
ppt-36,img-498339,spoken,0.36363636363636365,11,0,0,1.5454545454545454,4.636363636363637,0,0,0,0,0,3
ppt-36,img-498398,spoken,0.375,34,1,1,1.2941176470588236,3.8529411764705883,0,0,0,0,0,4
ppt-36,img-61513,spoken,0.5,17,1,1,1.3529411764705883,4.0,0,0,0,0,0,2
ppt-36,img-712977,spoken,0.3125,16,1,1,1.875,5.5625,0,0,0,0,0,2
ppt-36,img-713024,spoken,0.4444444444444444,9,0,0,2.0,6.111111111111111,0,0,0,0,0,1
ppt-36,img-713075,spoken,0.23076923076923078,14,2,1,1.9285714285714286,6.071428571428571,0,0,0,0,0,1
ppt-36,img-713174,spoken,0.5,22,1,0,1.4545454545454546,4.818181818181818,0,0,0,0,0,3
ppt-36,img-713228,spoken,0.38461538461538464,14,0,0,1.2857142857142858,4.0,0,0,0,0,0,3
ppt-36,img-713330,spoken,0.42857142857142855,28,0,1,1.4642857142857142,4.5,0,0,0,0,0,1
ppt-36,img-713371,spoken,0.36363636363636365,11,1,0,1.7272727272727273,6.090909090909091,0,0,0,0,0,1
ppt-36,img-713418,spoken,0.6666666666666666,12,0,2,1.9166666666666667,6.0,0,0,0,2,0,1
ppt-36,img-713450,spoken,0.5,16,0,1,1.375,4.25,0,0,0,0,0,3
ppt-36,img-713593,spoken,0.4444444444444444,10,0,0,1.5,4.8,0,0,0,0,0,1
ppt-36,img-713633,spoken,0.2857142857142857,7,0,0,1.7142857142857142,5.0,0,0,0,0,0,2
ppt-36,img-713652,spoken,0.4444444444444444,9,0,0,1.4444444444444444,5.444444444444445,0,0,0,0,0,2
ppt-36,img-713707,spoken,0.5,16,0,3,1.5,4.875,0,0,0,0,0,2
ppt-36,img-713760,spoken,0.36363636363636365,23,1,1,1.3043478260869565,4.043478260869565,0,0,0,0,0,1
ppt-36,img-713765,spoken,0.5333333333333333,16,1,0,1.5625,4.6875,0,0,0,0,0,1
